ticket,d_coll,name,dob,sex,ssn,zip
0034321026,03/24/2021,Stephanie C Kushnir,03/31/1952,F,572804720,48076
0034321031,03/31/2021,Keisha W Enger,04/05/2000,F,180622517,85374
0034321036,04/02/2021,Elisha J Minard,04/09/1968,F,596942208,34103
0034321038,04/07/2021,Elisha S Sprayberry,04/12/1961,M,199963348,34104
0034321042,04/15/2021,Darion S Mujica,04/17/1962,M,545865328,63017
0034321047,07/20/2021,Viviana T Poitra,07/26/1980,F,157023104,85365
0034321049,08/17/2021,Demarcus H Mayorga,08/19/1962,M,350923272,15217
0034321053,10/08/2021,Shelby K Kime,10/19/1982,M,195364655,11783
0034321057,11/05/2021,Jovany M Coxwell,11/09/1991,M,144223495,48322
0034321061,11/04/2021,Matthew O Perdue,11/10/1954,M,543927420,03080
0034321066,11/16/2021,Conor T Ofarrell,11/22/1968,M,486683137,10022
0034321069,11/29/2021,Larissa R Munnerlyn,11/30/1989,F,596021829,07761
0034321072,11/23/2021,Elisha T Manzione,12/02/1978,F,571270167,85376
