ticket|d_coll|name|dob|sex|ssn|zip
0034321007|03/14/2018|Cortney S Driskill|03/16/1976|F|114741549|
0034321012|09/12/2018|Kareem D Metallo|09/14/1981|M|339481391|
0034321015|06/20/2019|Cora M Bonde|06/21/1958|F|502550581|60036
0034321018|04/15/2020|Bailey J Bossler|04/23/1979|M|293468641|33495
0034321019|05/15/2020|Jamison D Dennin|05/22/1980|M|422263931|85260
0034321021|10/01/2020|Heriberto S Arterberry|10/02/1980|M|207221611|33774
0034321022|09/30/2020|Haylee E Girdler|10/03/1983|F|461625138|33775
0034321026|03/24/2021|Stephanie C Kushnir|03/31/1952|F|572804720|48076
0034321031|03/31/2021|Keisha W Enger|04/05/2000|F|180622517|85374
0034321036|04/02/2021|Elisha J Minard|04/09/1968|F|596942208|34103
0034321038|04/07/2021|Elisha S Sprayberry|04/12/1961|M|199963348|34104
0034321042|04/15/2021|Darion S Mujica|04/17/1962|M|545865328|63017
0034321047|07/20/2021|Viviana T Poitra|07/26/1980|F|157023104|85365
0034321049|08/17/2021|Demarcus H Mayorga|08/19/1962|M|350923272|15217
0034321053|10/08/2021|Shelby K Kime|10/19/1982|M|195364655|11783
0034321057|11/05/2021|Jovany M Coxwell|11/09/1991|M|144223495|48322
0034321061|11/04/2021|Matthew O Perdue|11/10/1954|M|543927420|03080
0034321066|11/16/2021|Conor T Ofarrell|11/22/1968|M|486683137|10022
0034321069|11/29/2021|Larissa R Munnerlyn|11/30/1989|F|596021829|07761
0034321072|11/23/2021|Elisha T Manzione|12/02/1978|F|571270167|85376
0034321073|12/30/2021|Koby P Nee|01/08/1983|M|156541694|07447
0034321077|01/18/2022|Andrea C Jelks|01/24/1974|F|584302353|92056
0034321080|01/31/2022|Uriel K Hatfield|02/01/1958|M|436724030|02761
0034321084|03/03/2022|Noe K Garling|03/07/1990|M|582062254|45242
0034321086|03/04/2022|Bryan R Scioli|03/09/1959|M|539583211|98289
0034321088|03/16/2022|Jason V Sestak|03/17/1962|M|588661338|78654
0034321089|03/22/2022|Allen S Ritzer|03/24/1966|M|619206708|55439
0034321093|04/19/2022|Eugene I Linch|04/26/1968|M|281820513|33480
0034321095|06/07/2022|Terry S Polland|06/13/1954|M|263559767|34241
0034321100|06/21/2022|Anderson G Murin|06/28/1950|M|293850721|48381
0034321104|07/14/2022|Sade B Donahue|07/20/1993|F|058090132|03075
0034321108|07/27/2022|Joaquin L Ask|08/03/1961|M|246522243|90803
0034321111|07/29/2022|Arnold G Machacek|08/04/1972|M|222162360|91315
0034321114|08/05/2022|Mayra B Sipes|08/10/1970|F|242067311|
0034321115|08/05/2022|Arthur C Valerio|08/10/1972|M|016221456|33433
0034321118|08/09/2022|Felipe L Birk|08/11/1983|M|355941991|
0034321121|08/11/2022|Jake K Turck|08/17/1967|M|468167100|96754
0034321124|08/22/2022|Erich D Yaros|08/25/1970|M|063944927|80641
0034321129|08/24/2022|Mohammed B Weick|08/29/1973|M|505183871|98102
0034321132|08/26/2022|Addison C Lingley|08/29/2001|F|573162814|
0034321137|08/31/2022|Anabel K Hofrichter|09/09/1987|F|448301104|91305
0034321139|09/19/2022|Davion T Bole|09/21/1975|M|328401756|10025
0034321141|09/15/2022|Myles V Genovese|09/22/1967|M|283484167|91747
0034321146|09/15/2022|Devin R Elderkin|09/21/2002|M|119646424|62705
0034321150|09/16/2022|Scarlett S Lies|09/23/1959|F|441902169|60088
0034321154|09/20/2022|Rogelio K Schweighardt|09/28/1955|M|471262495|92009
0034321155|10/04/2022|Harris H Estabrook|10/13/1967|U|377642202|
0034321158|10/11/2022|Jamel S Piel|10/12/1976|M|286726069|19083
0034321163|10/11/2022|Ashley L Hoefling|10/12/1974|M|262003432|60523
0034321165|10/12/2022|Kurt H Kramer|10/19/1976|M|579224826|03052
0034321167|10/20/2022|Branden M Parton|10/25/1984|M|554246469|14149
0034321169|10/21/2022|Gunnar H Vereen|10/26/1967|M|481243514|14220
0034321173|10/24/2022|Darrius B Angotti|10/25/1980|M|117601057|34144
0034321175|10/18/2022|Kendall Z Kindel|10/25/1956|F|214004091|33908
0034321180|10/24/2022|Gene C Southworth|10/27/1975|M|456361185|
0034321184|10/24/2022|Tyrone H Edelstein|10/26/1974|M|300010295|14007
0034321185|10/19/2022|Jean H Oser|10/27/1971|M|343082679|14226
0034321186|10/21/2022|Thalia C Wordell|10/26/1954|F|592983262|14025
0034321187|10/21/2022|Josiah P Kunze|10/28/1994|M|117542917|14222
0034321192|10/25/2022|Reynaldo F Mclean|11/01/1989|M|371810640|92695
0034321195|10/31/2022|Clifford T Chancey|11/01/1992|M|212181535|33436
0034321197|10/28/2022|Irvin B Guardado|11/01/1980|M|114250785|14226
0034321199|10/25/2022|Gino C Kerman|11/01/1974|M|165982354|
0034321203|10/28/2022|Isaac M Settlemyre|11/01/1960|M|510241830|40503
0034321208|11/02/2022|Edwin G Wold|11/04/1975|M|506502185|01846
0034321213|11/04/2022|Erik M Hartung|11/09/1978|M|286330039|06902
0034321218|11/09/2022|Jacoby B Doten|11/14/1974|M|573547078|14030
0034321221|11/08/2022|Jovany M Coxwell|11/14/1972|M|144223495|48323
0034321226|11/14/2022|Taylor D Dinkel|11/15/1981|M|464406307|02025
0034321227|11/08/2022|Nina B Petti|11/15/1972|F|417121354|02024
0034321229|11/07/2022|Allyssa L Eilts|11/15/1960|F|341945073|87570
0034321231|11/10/2022|Annika S Tieszen|11/18/1971|F|166341383|38120
0034321232|11/18/2022|Jaron L Jamison|11/23/1971|M|575222567|
0034321235|11/21/2022|Jackie A Napoli|11/22/1989|M|489430422|07739
0034321239|11/21/2022|Domenic G Rabon|11/22/1996|M|080670087|11212
0034321240|11/17/2022|Brendon M Hum|11/22/1962|M|309781625|36731
0034321244|11/25/2022|Jaden T Chartier|11/30/1975|M|778810057|
0034321248|11/23/2022|Annie E Gallion|11/29/1988|F|493642134|
0034321252|11/28/2022|Bradley C Gourley|12/02/1967|M|310386466|11211
0034321255|11/30/2022|Noah S Miyamoto|12/07/1974|M|463427288|08740
0034321256|12/05/2022|Rickey S Mercure|12/07/1957|M|155590801|23450
0034321260|12/06/2022|Davin T Aragon|12/13/1966|M|297004320|02904
0034321261|12/06/2022|Karlie R Amoroso|12/13/1960|F|596941547|33443
0034321262|12/06/2022|Kameron M Sabia|12/13/1984|M|562222334|19025
0034321264|12/08/2022|Reed D Maultsby|12/13/1973|M|010726756|21226
0034321269|12/09/2022|Deven D Capo|12/14/1976|M|321681792|34201
0034321274|12/08/2022|Donnie G Shima|12/15/1991|M|266541022|37620
0034321277|12/09/2022|Sally P Boylan|12/15/1969|F|486682972|
0034321281|12/13/2022|Bryson F Narvaez|12/15/1973|M|074530130|10538
0034321284|12/09/2022|Rafael H Coppage|12/15/1960|M|212103036|08755
0034321289|12/22/2022|Bo C Vital|12/27/1957|M|479323043|34103
0034321292|12/22/2022|Sophia H Lyng|12/27/1984|F|485525107|37065
0034321295|12/30/2022|Sylvia O Matteo|01/04/1968|F|467494353|33407
0034321298|12/29/2022|Carlo H Lesage|01/03/1957|M|428883513|33409
0034321302|12/28/2022|Ladarius D Ramstad|01/03/1971|M|322585082|03832
0034321305|12/27/2022|Gonzalo S Splinter|01/03/1955|M|461528809|53149
