name|dob|sex|zip|ssn|d_coll|ticket|d_perf|face|gluc|fruct|a1c|bun|creat|alkp|bil_t|ast|alt|ggt|prot|albu|glob|chol|hdl|tch_r|trigs|u_pro|u_cre|u_pcr|bmi|pulse|bpsys|bpdias
Stephanie C Kushnir|12/24/1938|F|48076|572804720|03/26/2021|0063582512|03/31/2021|250000|70|||16|100.4|78|0.3|11|11|16|6.6|4.0|2.6|67|67|3.5|103|12|100.4|0.12||||
Keisha W Enger|03/22/1944|F|85374|180622517|07/31/1919|0061311519|04/05/2021|100000|64|||16|46.0|56|0.4|14|9|9|6.5|3.8|2.7|86|86|2.4|93|6|46.0|0.13||||
Elisha J Minard|01/01/1948|F|34103|596942208|04/02/2021|0065390519|04/09/2021|100000|78|||24|138.2|50|0.3|18|15|25|7.1|4.7|2.4|77|77|2.8|122|11|138.2|0.08||||
Elisha S Sprayberry|08/23/1945|M|34104|199963348|04/02/2021|0061211510|04/12/2021|100000|81|||21|180.9|67|0.6|19|12|24|6.5|3.9|2.6|78|78|2.9|81|18|180.9|0.10||||
Darion S Mujica|01/18/1982|M|63017|545865328|04/08/2021|0065003510|04/16/2021|250000|95|||15|87.3|70|0.5|21|24|36|7.2|4.3|2.9|57|57|4.8|312|5|87.3|0.06||||
Viviana T Poitra|01/17/1943|F|85365|157023104|07/16/2021|0064663512|07/26/2021|2500000|65|||18|15.5|69|0.2|21|16|18|7.2|3.7|3.5|97|97||141|5|15.5|0.32||||
Demarcus H Mayorga|12/23/1962|M|15217|350923272|08/13/2021|0068861514|08/18/2021|500000|NVG|||13|55.0|69|0.9|38|20|28|7.3|4.6|2.7|100|100|2.4|82|7|55.0|0.13||||
Shelby K Kime|06/22/1971|M|11783|195364655|10/08/2021|0064790513|10/18/2021|1000000|95|||19|41.3|60|0.4|22|25|21|7.1|4.3|2.8|51|51|3.9|330|2|41.3|0.05||||
Jovany M Coxwell|10/08/1950|M|48322|144223495|10/29/2021|0060392512|11/08/2021|250000|NVG|||26|118.0|86|0.5|23|24|NVH|6.8|4.4|2.4|53|53|3.6|102|9|118.0|0.08||||
Matthew O Perdue|03/22/1953|M|03080|543927420|11/05/2021|0069610516|11/09/2021|100000|70|||22|148.3|67|1.2|22|19|44|6.7|4.3|2.4|67|67|3.5|91|13|148.3|0.09||||
Conor T Ofarrell|07/04/1952|M|10022|486683137|11/19/2021|0066041519|11/22/2021|100000|88|||30|145.9|39|0.4|19|14|14|6.1|3.8|2.3|87|87|2.3|39|9|145.9|0.06||||
Larissa R Munnerlyn|08/22/1958|F|07761|596021829|11/26/2021|0060162514|11/30/2021|250000|96|||14|38.7|64|0.7|18|16|32|7.6|4.3|3.3|79|79|3.8|116|4|38.7|0.10||||
Elisha T Manzione|05/15/1951|F|85376|571270167|11/26/2021|0065614516|12/01/2021|100000|85|||9|32.8|53|0.5|19|15|14|6.9|4.1|2.8|61|61|3.3|162|3|32.8|0.09||||
